,t1-t2-LSUB,t1-t2-LCA,t1-t2-LDG
150423,1.9219015,1.9102776,1.5688378
150726,2.2672725,2.2320714,1.8182008
150928,2.0257754,1.9611225,1.5577655
151223,2.1353705,1.9588553,1.6228878
151425,1.9484057,1.9952737,1.7099986
151526,2.1405046,1.9440279,1.5747833
151627,1.7765,1.7678578,1.4883416
151728,2.3493552,2.1143932,1.7286587
151829,1.8632063,1.9074464,1.5464523
152831,2.0360076,1.8810456,1.6089941
153025,1.8650517,1.776701,1.4795058
153227,1.8886741,1.8482423,1.5468557
153429,2.0629869,2.0243416,1.7714756
153631,1.9481355,1.8976532,1.5979536
153732,1.9806076,1.8801794,1.6155177
153833,2.2985358,1.9957641,1.602396
154229,2.272605,2.227866,1.7548467
154431,1.9752848,1.9402922,1.7033353
154532,2.102885,2.0702682,1.738349
154734,2.1152678,2.2259877,1.6800205
154936,2.1609697,1.9805857,1.5729301
155635,2.0710359,1.9698749,1.6197501
156031,2.1655066,2.1482463,1.7237706
156233,2.1412187,2.0350053,1.7069564
156334,1.9211714,1.9564387,1.7382007
156536,1.8697894,1.8416444,1.4629955
156637,2.3278713,2.2674265,1.6908281
157336,1.9030975,1.8921701,1.6317346
157437,2.0632124,1.9762928,1.7293707
157942,1.966378,1.9351733,1.6566739
158035,1.899967,1.8446882,1.5295166
158136,1.964952,1.9686091,1.6139417
158540,1.9778934,2.0113068,1.7487524
158843,1.8953788,1.8516306,1.5041282
159138,2.058679,2.0992823,1.6289892
159239,1.9465724,1.9794196,1.7189258
159441,2.1220467,2.0735798,1.695199
159744,1.8450607,1.9749445,1.7063658
159946,2.186879,1.9188557,1.4869891
160123,2.2041564,2.0047119,1.6723738
160729,1.9682293,1.9306395,1.5973136
160830,2.0062535,1.961256,1.7497969
161630,2.2396734,2.3190544,1.8995624
161731,1.9228675,1.9520065,1.5756776
162026,1.9275515,2.0564935,1.6815519
162228,1.9620708,2.589899,1.5653338
162329,1.9782528,1.8426001,1.6363833
162733,2.0327003,2.0089214,1.6620821
163129,1.9046521,1.9167123,1.5060843
163331,2.1925979,2.0369895,1.6859579
163836,2.1377366,1.9668616,1.5503455
164030,2.158716,2.0217848,1.6184194
164131,2.1520143,1.9367759,1.6739156
164636,1.9893509,1.8967856,1.5089805
164939,1.924796,2.0156517,1.6957206
165032,2.283685,2.139175,1.7429547
165638,1.9905994,1.9525397,1.6060892
165840,2.1400337,2.055505,1.7454083
166640,2.252903,2.1706583,1.7066777
167036,1.7615412,1.8291311,1.5468547
167743,2.0533252,2.0146394,1.6757205
168240,2.1015937,2.0185843,1.7216035
168341,2.1069918,2.108022,1.5665605
168745,1.9619973,1.9337933,1.5888387
169343,2.0681667,1.9626639,1.6076016
169444,1.9590807,1.9386318,1.5957098
169747,2.075591,2.0323253,1.7337711
169949,1.9762708,1.9951183,1.629428
170631,2.1202905,2.2429714,1.728194
171532,2.002285,2.0497684,1.7854321
171633,1.8827292,1.9419786,1.6166086
172029,2.1432884,2.1067853,1.7003691
172130,1.9989262,1.9160652,1.6544416
172332,2.0445607,1.9937378,1.8519562
172433,1.9528699,1.9663363,1.6722374
172534,1.9039192,1.9458864,1.6743622
172938,1.9163039,1.9412484,1.703886
173334,2.003694,1.8900356,1.6288311
173435,1.8119541,1.9130298,1.6001551
173536,1.8646194,1.9064784,1.5599375
173637,2.2680168,2.2883236,1.8045592
173738,2.0616891,2.0138054,1.5803573
173839,1.7775545,1.7831619,1.5392303
173940,1.8117275,1.8612822,1.5603292
174437,1.9872932,2.0379195,1.6549802
174841,2.036233,2.493635,1.6807561
175237,1.8940737,1.864825,1.6370219
175338,1.9836314,1.8607608,1.4749296
175439,2.252557,2.138908,1.7811854
175540,1.9824301,1.9254653,1.5665696
175742,2.0855255,2.0417154,1.6255587
176037,1.8067732,1.8539352,1.5035288
176441,2.1008146,2.0796695,1.6926075
176542,1.789919,1.845874,1.5279522
176744,1.8086765,1.9905314,1.6821384
177241,2.1658902,2.0579815,1.7090082
177645,1.80459,1.9116925,1.6039593
177746,1.9191267,1.9597466,1.644428
178142,2.1260133,1.9674351,1.5315261
178243,2.0499797,1.7937644,1.4384499
178647,2.6640677,2.294883,1.81089
178748,2.0863228,1.8969235,1.6226723
178950,2.1277065,2.10742,1.6796334
179245,1.9147393,1.9644012,1.7149338
179346,1.9603522,1.9858098,1.7222223
180432,1.9046474,1.8497798,1.5708033
180735,1.8256168,1.8406987,1.6494668
180937,2.1607797,2.2788706,1.8128777
181232,1.9564552,1.8659439,1.5210509
181636,2.3278713,2.261073,1.8094695
182032,2.0065598,2.0091991,1.6520374
182436,2.3903031,2.5270677,1.8386629
182739,2.2781603,3.4635053,1.8290479
182840,2.1401277,2.151229,1.7679713
183034,2.294499,2.2073314,1.6898651
183337,2.2257211,2.128411,1.7888405
185139,1.9477409,1.9646742,1.592901
185341,2.123827,2.1738262,1.7589194
185442,2.0992637,2.146511,1.6876739
185846,1.9421415,1.95115,1.607596
185947,2.035756,2.1397412,1.7327875
186141,2.084506,1.9912825,1.6138464
186444,1.865205,1.8109015,1.5285408
187143,2.533884,2.9413805,1.7499526
187345,2.0196986,2.0891101,1.7433714
187547,1.8448147,1.9039856,1.5564237
187850,1.9422624,1.9694802,1.5894337
188347,2.0034616,1.9111218,1.5933495
188448,1.8904839,1.8944354,1.5889778
188549,2.0001385,2.0544155,1.989497
189349,1.9003278,1.8799666,1.5202475
189450,2.025015,2.0252957,1.6030164
190031,1.9336922,1.7513548,1.5275557
191033,1.914851,1.9251798,1.6326735
191336,2.07727,2.1054952,1.7060943
191437,2.1556973,2.106557,1.7228756
191841,1.8478637,1.8503877,1.5649117
191942,1.8601971,1.9387063,1.6959755
192136,2.0612054,2.109264,1.7132958
192439,2.0168104,1.9416138,1.6341655
192540,1.9566541,1.8535444,1.5063486
192641,1.9035772,1.9261097,1.5817873
192843,2.193735,2.0301018,1.6535113
193239,1.7572834,1.9742694,1.6122965
194140,1.9520328,2.0064514,1.7778971
194645,1.7454946,1.7632033,1.5286435
194746,1.8279533,1.8415012,1.4634882
194847,2.2222605,2.2487378,1.7635634
195445,2.0346885,2.0717454,1.774282
195950,1.967927,1.9847587,1.7012566
196144,1.9447272,1.8978109,1.6860079
196346,2.445086,2.1071835,1.7434798
