,t1-t2-LSUB,t1-t2-LCA,t1-t2-LDG
898176,2.3070588,2.0920525,1.881356
899885,1.9056737,1.9978249,1.5527236
901038,2.4092987,2.436183,1.8767858
901139,1.9075215,1.8704035,1.5438957
901442,1.9273796,1.874553,1.5269333
904044,1.8992833,1.9739122,1.6272423
907656,1.9892151,1.8318479,1.4937224
910241,2.12584,2.2254663,1.7073061
910443,2.3680773,2.1900048,1.7905086
912447,1.9167258,1.9899802,1.6472625
917255,1.7826724,1.801357,1.5421746
917558,1.8518102,1.9031205,1.7072936
919966,2.0190544,2.0869927,1.6190263
922854,1.9714936,1.8442781,1.6380234
926862,2.11974,2.0153737,1.7062511
927359,2.036038,2.0597715,1.7834394
930449,1.8804959,1.863526,1.5725018
932554,2.3504689,2.1257753,1.6675708
937160,2.3243215,2.0381765,1.6652653
942658,1.9770598,1.963712,1.5553417
947668,2.1645653,2.1820693,1.858706
951457,1.994081,1.9355705,1.6148472
952863,1.8090515,1.8244127,1.5478357
955465,1.9050976,1.9631449,1.5254862
957974,1.9626675,2.0209856,1.6541957
959574,1.9285579,1.7862706,1.5244365
965771,2.463048,2.1789193,1.7953849
966975,1.970226,1.9925773,1.7264102
978578,1.954046,1.9227002,1.695132
979984,2.0370612,1.915844,1.6157165
983773,2.0515952,1.9472761,1.6519746
984472,1.8530656,1.8816624,1.6252885
990366,2.2799797,2.100274,1.8360553
991267,1.9307091,1.9666187,1.6112258
992774,1.866935,1.8645968,1.556463
993675,1.925981,1.9307275,1.5640125
996782,1.764143,1.8135381,1.5688274
